t,idx,x,y
10.2502,46,36.5147,81.1494
10.2502,47,36.3149,81.1574
10.2502,48,36.1150,81.1519
10.2502,49,36.0058,81.1489
11.3005,0,43.9288,74.1293
11.3005,1,43.7474,74.5952
11.3005,2,43.5486,75.0537
11.3005,3,43.3304,75.5034
11.3005,4,43.0907,75.9421
11.3005,5,42.8342,76.3711
11.3005,6,42.5604,76.7894
11.3005,7,42.2664,77.1938
11.3005,8,41.9565,77.5860
11.3005,9,41.6313,77.9657
11.3005,10,41.2879,78.3291
11.3005,11,40.9295,78.6775
11.3005,12,40.5575,79.0115
11.3005,13,40.1699,79.3273
11.3005,14,39.7682,79.6249
11.3005,15,39.3546,79.9056
11.3005,16,38.9281,80.1665
11.3005,17,38.4893,80.4059
11.3005,18,38.0404,80.6258
11.3005,19,37.5816,80.8244
11.3005,20,37.1127,80.9977
11.3005,21,36.6363,81.1490
11.3005,22,36.1533,81.2784
11.3005,23,35.6635,81.3785
11.3005,24,35.1695,81.4545
11.3005,25,34.6724,81.5072
11.3005,26,34.1730,81.5307
11.3005,27,33.6731,81.5276
11.3005,28,33.1740,81.5007
11.3005,29,32.6773,81.4437
11.3005,30,32.1851,81.3570
11.3005,31,31.6972,81.2486
11.3005,32,31.2159,81.1133
11.3005,33,30.7429,80.9519
11.3005,34,30.2763,80.7726
11.3005,35,29.8794,80.5949
11.3005,36,29.8010,80.5600
12.3503,0,39.5229,79.7655
12.3503,1,39.1272,80.0709
12.3503,2,38.7144,80.3521
12.3503,3,38.2828,80.6039
12.3503,4,37.8316,80.8189
12.3503,5,37.3682,81.0055
12.3503,6,36.8934,81.1615
12.3503,7,36.4080,81.2804
12.3503,8,35.9168,81.3722
12.3503,9,35.4212,81.4374
12.3503,10,34.9224,81.4697
12.3503,11,34.4227,81.4793
12.3503,12,33.9230,81.4668
12.3503,13,33.4246,81.4276
12.3503,14,32.9280,81.3706
12.3503,15,32.4338,81.2950
12.3503,16,31.9432,81.1988
12.3503,17,31.4557,81.0885
12.3503,18,30.9720,80.9619
12.3503,19,30.4926,80.8200
12.3503,20,30.0170,80.6661
12.3503,21,29.5461,80.4979
12.3503,22,29.0797,80.3179
12.3503,23,28.6175,80.1273
12.3503,24,28.1607,79.9240
12.3503,25,27.7085,79.7109
12.3503,26,27.2609,79.4881
12.3503,27,26.8190,79.2541
12.3503,28,26.3820,79.0113
12.3503,29,26.0694,78.8332
13.3507,0,33.9132,81.2700
13.3507,1,33.4133,81.2736
13.3507,2,32.9137,81.2578
13.3507,3,32.4153,81.2197
13.3507,4,31.9192,81.1580
13.3507,5,31.4256,81.0792
13.3507,6,30.9362,80.9771
13.3507,7,30.4506,80.8586
13.3507,8,29.9696,80.7224
13.3507,9,29.4945,80.5669
13.3507,10,29.0242,80.3975
13.3507,11,28.5622,80.2063
13.3507,12,28.1061,80.0018
13.3507,13,27.6589,79.7783
13.3507,14,27.2204,79.5385
13.3507,15,26.7906,79.2831
13.3507,16,26.3733,79.0080
13.3507,17,25.9655,78.7189
13.3507,18,25.5735,78.4086
13.3507,19,25.1944,78.0830
13.3507,20,24.8315,77.7392
13.3507,21,24.4882,77.3759
13.3507,22,24.1617,76.9976
13.3507,23,23.8618,76.5976
13.3507,24,23.5842,76.1823
13.3507,25,23.3329,75.7503
13.3507,26,23.1151,75.3005
13.3507,27,22.9254,74.8385
13.3507,28,22.7738,74.3622
13.3507,29,22.6583,73.8763
13.3507,30,22.5763,73.3835
13.3507,31,22.5406,72.8849
13.3507,32,22.5383,72.3857
13.3507,33,22.5756,71.8873
13.3507,34,22.6501,71.3934
13.3507,35,22.7539,70.9045
13.3507,36,22.8972,70.4258
13.3507,37,23.0607,69.9535
13.3507,38,23.2617,69.4958
13.3507,39,23.4766,69.0446
13.3507,40,23.7230,68.6097
13.3507,41,23.9763,68.1786
13.3507,42,24.0295,68.0884
14.4004,0,26.8493,79.3459
14.4004,1,26.3949,79.1378
14.4004,2,25.9511,78.9097
14.4004,3,25.5350,78.6329
14.4004,4,25.1381,78.3308
14.4004,5,24.7747,77.9878
14.4004,6,24.4437,77.6145
14.4004,7,24.1455,77.2138
14.4004,8,23.8964,76.7806
14.4004,9,23.6796,76.3309
14.4004,10,23.5012,75.8641
14.4004,11,23.3642,75.3837
14.4004,12,23.2566,74.8959
14.4004,13,23.1844,74.4014
14.4004,14,23.1400,73.9037
14.4004,15,23.1188,73.4043
14.4004,16,23.1280,72.9045
14.4004,17,23.1550,72.4054
14.4004,18,23.2034,71.9078
14.4004,19,23.2686,71.4122
14.4004,20,23.3461,70.9183
14.4004,21,23.4359,70.4264
14.4004,22,23.5306,69.9355
14.4004,23,23.6282,69.4452
14.4004,24,23.7239,68.9545
14.4004,25,23.8154,68.4630
14.4004,26,23.8952,67.9695
14.4004,27,23.9621,67.4742
14.4004,28,24.0113,66.9767
14.4004,29,24.0335,66.4775
14.4004,30,24.0305,65.9779
14.4004,31,23.9911,65.4797
14.4004,32,23.9122,64.9865
14.4004,33,23.7972,64.5005
14.4004,34,23.6328,64.0286
14.4004,35,23.4305,63.5723
14.4004,36,23.1904,63.1342
14.4004,37,22.9100,62.7208
14.4004,38,22.6060,62.3247
14.4004,39,22.2666,61.9578
14.4004,40,21.9146,61.6032
14.4004,41,21.5428,61.2691
